epoch,loss,rmse_train,rmse_val
67,5.885558448426309e-07,0.0007671166094951332,
68,5.885550626771874e-07,0.0007671164930798113,
69,5.885550581297139e-07,0.000767117424402386,
70,5.885558039153693e-07,0.0007671181228943169,
71,5.885574955755147e-07,0.0007671202765777707,
72,5.885593418497592e-07,0.0007671225466765463,
73,5.885627751922584e-07,0.0007671260391362011,
74,5.885681002837373e-07,0.0007671299390494823,
75,5.885732070964877e-07,0.0007671338971704245,
76,5.885783730263938e-07,0.0007671387284062803,
77,5.885854579901207e-07,0.0007671438506804407,
78,5.885925429538474e-07,0.0007671490893699229,
79,5.886001918042894e-07,0.000767155026551336,
80,5.88608713769645e-07,0.0007671613129787147,
81,5.886177541469805e-07,0.0007671680068597198,
82,5.886273493160843e-07,0.0007671747589483857,
83,5.886376857233699e-07,0.0007671815110370517,
84,5.886472399652121e-07,0.0007671889616176486,
85,5.886576354896534e-07,0.0007671957137063146,
86,5.886673625354888e-07,0.0007672039791941643,
87,5.886778990316088e-07,0.0007672111387364566,
88,5.886884855499374e-07,0.0007672180654481053,
89,5.886975986868492e-07,0.0007672253414057195,
90,5.887085626454791e-07,0.0007672325591556728,
91,5.887185943720396e-07,0.0007672393694519997,
92,5.887274210181204e-07,0.0007672467036172748,
93,5.887378756597173e-07,0.0007672537467442453,
94,5.887473071197746e-07,0.0007672603824175894,
95,5.887560701012262e-07,0.0007672673091292381,
96,5.887655743208597e-07,0.0007672733627259731,
97,5.887740780963213e-07,0.0007672795909456909,
98,5.887831548534451e-07,0.0007672864594496787,
99,5.887914721824927e-07,0.0007672920473851264,
100,5.887993756914511e-07,0.000767298333812505,
epoch,loss,rmse_train,rmse_val
1,2.4480750537847484e-10,1.564369085826911e-05,3.465666304691695e-05
2,2.4471696558059366e-10,1.56425576278707e-05,3.465545523795299e-05
3,2.446817159995618e-10,1.5641431673429906e-05,3.465542249614373e-05
4,2.4464633208154394e-10,1.5640280253137462e-05,3.465429108473472e-05
5,2.44610264266143e-10,1.5639119737898e-05,3.464507972239517e-05
6,2.445732028011349e-10,1.5637959222658537e-05,3.4644217521417886e-05
7,2.445367730530279e-10,1.5636696844012477e-05,3.4633972973097116e-05
8,2.4449343882793074e-10,1.5635265299351886e-05,3.463376560830511e-05
9,2.444472169127465e-10,1.5633735529263504e-05,3.463372922851704e-05
10,2.443968427634502e-10,1.56316309585236e-05,3.46336564689409e-05
11,2.4433740031248873e-10,1.5627796528860927e-05,3.462460881564766e-05
12,2.442206681330106e-10,1.56267560669221e-05,3.4624565159901977e-05
13,2.4418705724116307e-10,1.5625599189661443e-05,3.4622527891770005e-05
14,2.441488622384469e-10,1.562443321745377e-05,3.4612745366757736e-05
15,2.441126867314125e-10,1.5623214494553395e-05,3.461207597865723e-05
16,2.4407353693689515e-10,1.562190846016165e-05,3.461215237621218e-05
17,2.4403514098381153e-10,1.5620145859429613e-05,3.4612545277923346e-05
18,2.4398251863289035e-10,1.5617904864484444e-05,3.460932566667907e-05
19,2.439125812436771e-10,1.5616940800100565e-05,3.460391963017173e-05
20,2.438824431294506e-10,1.561597855470609e-05,3.460391963017173e-05
21,2.438522861414327e-10,1.5615054508089088e-05,3.459456274867989e-05
22,2.4382395547029036e-10,1.561418321216479e-05,3.459248546278104e-05
23,2.437967394630647e-10,1.561330645927228e-05,3.459171421127394e-05
24,2.437694457402273e-10,1.5612436982337385e-05,3.45913867931813e-05
25,2.43742289685045e-10,1.561156750540249e-05,3.45913867931813e-05
26,2.4371503482001343e-10,1.561065982969012e-05,3.45913867931813e-05
27,2.4368600026747343e-10,1.560974669700954e-05,3.45913867931813e-05
28,2.436574375597189e-10,1.5608829926350154e-05,3.4583212254801765e-05
29,2.4363026596141425e-10,1.560801138111856e-05,3.458234641584568e-05
30,2.4360490291641667e-10,1.560719647386577e-05,3.458234641584568e-05
31,2.435780965814871e-10,1.5606379747623578e-05,3.457298953435384e-05
32,2.435525636723668e-10,1.560556484037079e-05,3.457293860265054e-05
33,2.435270296530234e-10,1.5604746295139194e-05,3.457288403296843e-05
34,2.4350137017847827e-10,1.560392411192879e-05,3.457070852164179e-05
35,2.43470565930437e-10,1.5602732673869468e-05,3.456960621406324e-05
36,2.434308088439252e-10,1.5601375707774423e-05,3.456960621406324e-05
37,2.4338646986699077e-10,1.559919837745838e-05,3.456960621406324e-05
38,2.433308876614859e-10,1.5596166122122668e-05,3.456960621406324e-05
39,2.4323644987056524e-10,1.5595476725138724e-05,3.456944614299573e-05
40,2.4321385350134507e-10,1.5594789147144184e-05,3.456202466622926e-05
41,2.431893431076304e-10,1.5593876014463603e-05,3.456255217315629e-05
42,2.4315923830009467e-10,1.5592861018376425e-05,3.456145350355655e-05
43,2.4312513002833216e-10,1.5591558621963486e-05,3.455210026004352e-05
44,2.43091445861765e-10,1.558902113174554e-05,3.455210026004352e-05
45,2.4301217593780676e-10,1.5588357200613245e-05,3.455210026004352e-05
46,2.4299344203448926e-10,1.558778058097232e-05,3.455210026004352e-05
47,2.4297544087836797e-10,1.5587203961331397e-05,3.455210026004352e-05
48,2.4295753187075774e-10,1.5586632798658684e-05,3.455210026004352e-05
49,2.4293976719214074e-10,1.558606163598597e-05,3.455210026004352e-05
50,2.4292087341670765e-10,1.558550138724968e-05,3.4551940188976005e-05
51,2.429033874040698e-10,1.5584908396704122e-05,3.454973557381891e-05
52,2.428848877578105e-10,1.558431176817976e-05,3.4548924304544926e-05
53,2.428659040543124e-10,1.558372241561301e-05,3.4548924304544926e-05
54,2.4284736332980115e-10,1.5583109416184016e-05,3.4548924304544926e-05
55,2.4282874377945517e-10,1.5582538253511302e-05,3.4548924304544926e-05
56,2.428125778219936e-10,1.558201984153129e-05,3.4548924304544926e-05
57,2.427962886297763e-10,1.5581497791572474e-05,3.454097895883024e-05
58,2.4278021704127184e-10,1.558097210363485e-05,3.454097895883024e-05
59,2.4276389121169475e-10,1.558045005367603e-05,3.454097895883024e-05
60,2.4274760201947743e-10,1.5579922546749003e-05,3.454097895883024e-05
61,2.4273120180495764e-10,1.557938776386436e-05,3.45316220773384e-05
62,2.427129841553466e-10,1.5578854799969122e-05,3.453135286690667e-05
63,2.426961032142572e-10,1.5578312741126865e-05,3.453053068369627e-05
64,2.4267921894249867e-10,1.5577757949358784e-05,3.453053068369627e-05
65,2.426618361806021e-10,1.557719770062249e-05,3.453053068369627e-05
66,2.426452994086503e-10,1.557671930640936e-05,3.453053068369627e-05
67,2.4263172138105913e-10,1.5576246369164437e-05,3.453053068369627e-05
68,2.426170753189183e-10,1.5575769793940708e-05,3.453053068369627e-05
69,2.4260233932871243e-10,1.557528776174877e-05,3.453053068369627e-05
70,2.4258741571081543e-10,1.557480572955683e-05,3.453053068369627e-05
71,2.425722989141121e-10,1.5574316421407275e-05,3.453053068369627e-05
72,2.4255589758936933e-10,1.5573818018310703e-05,3.453053068369627e-05
73,2.4254025010606027e-10,1.5573306882288307e-05,3.453053068369627e-05
74,2.425244505221968e-10,1.5572788470308296e-05,3.453053068369627e-05
75,2.4250615182630497e-10,1.5572368283756077e-05,3.453053068369627e-05
76,2.424926359712032e-10,1.557220093673095e-05,3.453053068369627e-05
77,2.424878176032763e-10,1.5572053598589264e-05,3.453142198850401e-05
78,2.4248198560172796e-10,1.5571720723528415e-05,3.453142198850401e-05
79,2.4246489260804084e-10,1.5571091353194788e-05,3.4531276469351724e-05
80,2.4244429353004194e-10,1.5567764421575703e-05,3.4531210985733196e-05
81,2.4236300188995586e-10,1.5568104572594166e-05,3.4531210985733196e-05
82,2.423642020410455e-10,1.5567848095088266e-05,3.4531210985733196e-05
83,2.4235616291612416e-10,1.556753704790026e-05,3.4531210985733196e-05
84,2.4233807294216093e-10,1.5566132788080722e-05,3.4531210985733196e-05
85,2.4229526163210837e-10,1.5564042769256048e-05,3.4531210985733196e-05
86,2.422379796751528e-10,1.5563724446110427e-05,3.4531210985733196e-05
87,2.422278733149597e-10,1.5563398847007193e-05,3.4531210985733196e-05
88,2.422175759964063e-10,1.556305869598873e-05,3.4531210985733196e-05
89,2.422074030228316e-10,1.556271490699146e-05,3.4531210985733196e-05
90,2.4219680483383853e-10,1.5562358385068364e-05,3.4531210985733196e-05
91,2.42184697851755e-10,1.5561992768198252e-05,3.4531210985733196e-05
92,2.421713152234162e-10,1.5561610780423507e-05,3.4531210985733196e-05
93,2.4215899174784284e-10,1.5561185136903077e-05,3.4531210985733196e-05
94,2.4214771521258174e-10,1.5560957763227634e-05,3.4531210985733196e-05
95,2.4214207638983966e-10,1.556077586428728e-05,3.4531210985733196e-05
96,2.421363887172845e-10,1.556059214635752e-05,3.4531210985733196e-05
97,2.421310518752051e-10,1.55604266183218e-05,3.4531210985733196e-05
98,2.4212558180636277e-10,1.5560253814328462e-05,3.4531210985733196e-05
99,2.4212046145777324e-10,1.556009374326095e-05,3.4531210985733196e-05
100,2.4211530558204684e-10,1.555993549118284e-05,3.4531210985733196e-05
epoch,loss,rmse_train,rmse_val
